file,epsilon,QC,1-QS,ret,time
SDN00001_L00010_R00002.txt,0,1,0,2,0.0571951829479076
SDN00001_L00010_R00002.txt,0.01,1,0,2,0.0694855700130574
SDN00001_L00010_R00002.txt,0.02,1,0,2,0.07202469202457
SDN00001_L00010_R00002.txt,0.05,1,0,2,0.121664566977415
SDN00001_L00010_R00002.txt,0.1,1,0,2,0.0754822780145332
SDN00001_L00010_R00002.txt,0.2,1,0,2,0.121305057022255
SDN00001_L00010_R00002.txt,0.3,0.966666666666667,0.0645161290322581,2,0.0826611540396698
SDN00001_L00010_R00002.txt,0.4,0.90952380952381,0.165938864628821,2,0.0740742509951815
SDN00001_L00010_R00002.txt,0.5,0.966666666666667,0.0645161290322581,1,0.121133799024392
SDN00002_L00010_R00000.txt,0,1,0,0,0.0569733559968881
SDN00002_L00010_R00000.txt,0.01,1,0,0,0.054928147001192
SDN00002_L00010_R00000.txt,0.02,1,0,0,0.0587091789930128
SDN00002_L00010_R00000.txt,0.05,1,0,0,0.062116373970639
SDN00002_L00010_R00000.txt,0.1,1,0,0,0.11130340595264
SDN00002_L00010_R00000.txt,0.2,1,0,0,0.0642415310139768
SDN00002_L00010_R00000.txt,0.3,1,0,0,0.067630548030138
SDN00002_L00010_R00000.txt,0.4,1,0,0,0.124243726022542
SDN00002_L00010_R00000.txt,0.5,1,0,0,0.0760182440280914
SDN00003_L00010_R00001.txt,0,1,0,1,0.0101904740440659
SDN00003_L00010_R00001.txt,0.01,1,0,1,0.11367552401498
SDN00003_L00010_R00001.txt,0.02,1,0,1,0.0694248310173862
SDN00003_L00010_R00001.txt,0.05,1,0,1,0.0729594650329091
SDN00003_L00010_R00001.txt,0.1,1,0,1,0.129082524974365
SDN00003_L00010_R00001.txt,0.2,1,0,1,0.083628585038241
SDN00003_L00010_R00001.txt,0.3,1,0,1,0.0758217140100896
SDN00003_L00010_R00001.txt,0.4,0.852380952380952,0.257261410788382,0,0.128749043971766
SDN00003_L00010_R00001.txt,0.5,0.880952380952381,0.212765957446809,2,0.0776660399860703
SDN00004_L00010_R00002.txt,0,1,0,2,0.020203490043059
SDN00004_L00010_R00002.txt,0.01,1,0,2,0.127512505976483
SDN00004_L00010_R00002.txt,0.02,1,0,2,0.0790238810004666
SDN00004_L00010_R00002.txt,0.05,1,0,2,0.079599978053011
SDN00004_L00010_R00002.txt,0.1,1,0,2,0.130690324003808
SDN00004_L00010_R00002.txt,0.2,1,0,2,0.0783877809881233
SDN00004_L00010_R00002.txt,0.3,1,0,2,0.0850489940494299
SDN00004_L00010_R00002.txt,0.4,1,0,2,0.130806041008327
SDN00004_L00010_R00002.txt,0.5,0.828571428571429,0.292682926829268,0,0.0797863859916106
SDN00005_L00010_R00002.txt,0,1,0,2,0.0164485689601861
SDN00005_L00010_R00002.txt,0.01,1,0,2,0.112640662002377
SDN00005_L00010_R00002.txt,0.02,1,0,2,0.0663644870510325
SDN00005_L00010_R00002.txt,0.05,1,0,2,0.112682328966912
SDN00005_L00010_R00002.txt,0.1,1,0,2,0.0715878370101564
SDN00005_L00010_R00002.txt,0.2,1,0,2,0.0733240860281512
SDN00005_L00010_R00002.txt,0.3,0.966666666666667,0.0645161290322581,2,0.115315700997598
SDN00005_L00010_R00002.txt,0.4,1,0,2,0.0747769099543802
SDN00005_L00010_R00002.txt,0.5,0.89047619047619,0.197424892703863,1,0.117811153002549
SDN00006_L00010_R00003.txt,0,1,0,3,0.0264044009963982
SDN00006_L00010_R00003.txt,0.01,1,0,3,0.0773698389530182
SDN00006_L00010_R00003.txt,0.02,1,0,3,0.0769487750367262
SDN00006_L00010_R00003.txt,0.05,1,0,3,0.0775655100005679
SDN00006_L00010_R00003.txt,0.1,1,0,3,0.0794839279842563
SDN00006_L00010_R00003.txt,0.2,1,0,3,0.122901488037314
SDN00006_L00010_R00003.txt,0.3,1,0,3,0.082066043978557
SDN00006_L00010_R00003.txt,0.4,1,0,3,0.0835993709624745
SDN00006_L00010_R00003.txt,0.5,0.933333333333333,0.125,2,0.0817385599948466
SDN00007_L00010_R00003.txt,0,1,0,3,0.0344021869823337
SDN00007_L00010_R00003.txt,0.01,1,0,3,0.0757987700053491
SDN00007_L00010_R00003.txt,0.02,1,0,3,0.11912075598957
SDN00007_L00010_R00003.txt,0.05,1,0,3,0.0780441600363702
SDN00007_L00010_R00003.txt,0.1,1,0,3,0.0804425739916042
SDN00007_L00010_R00003.txt,0.2,1,0,3,0.121892037044745
SDN00007_L00010_R00003.txt,0.3,0.966666666666667,0.0645161290322581,2,0.0868332599638961
SDN00007_L00010_R00003.txt,0.4,0.966666666666667,0.0645161290322581,2,0.120740834041499
SDN00007_L00010_R00003.txt,0.5,0.966666666666667,0.0645161290322581,2,0.0793113430263475
SDN00008_L00010_R00003.txt,0,1,0,3,0.0247520479606465
SDN00008_L00010_R00003.txt,0.01,1,0,3,0.110905133013148
SDN00008_L00010_R00003.txt,0.02,1,0,3,0.0690023520146497
SDN00008_L00010_R00003.txt,0.05,1,0,3,0.0823647200013511
SDN00008_L00010_R00003.txt,0.1,1,0,3,0.121754940017127
SDN00008_L00010_R00003.txt,0.2,1,0,3,0.0778401030111127
SDN00008_L00010_R00003.txt,0.3,0.966666666666667,0.0645161290322581,3,0.113430398982018
SDN00008_L00010_R00003.txt,0.4,0.942857142857143,0.108108108108108,2,0.0762294279993512
SDN00008_L00010_R00003.txt,0.5,0.838095238095238,0.278688524590164,2,0.112116177973803
SDN00009_L00010_R00000.txt,0,1,0,0,0.0537817620206624
SDN00009_L00010_R00000.txt,0.01,1,0,0,0.0541195700061508
SDN00009_L00010_R00000.txt,0.02,1,0,0,0.102398672024719
SDN00009_L00010_R00000.txt,0.05,1,0,0,0.0624743680236861
SDN00009_L00010_R00000.txt,0.1,1,0,0,0.0618972069933079
SDN00009_L00010_R00000.txt,0.2,1,0,0,0.0730947640258819
SDN00009_L00010_R00000.txt,0.3,1,0,0,0.0694150479976088
SDN00009_L00010_R00000.txt,0.4,0.923809523809524,0.141592920353982,0,0.113584253995214
SDN00009_L00010_R00000.txt,0.5,0.942857142857143,0.108108108108108,0,0.0733394289854914
SDN00010_L00010_R00001.txt,0,1,0,1,0.0429199589998461
SDN00010_L00010_R00001.txt,0.01,1,0,1,0.117295880045276
SDN00010_L00010_R00001.txt,0.02,1,0,1,0.0761394400033169
SDN00010_L00010_R00001.txt,0.05,1,0,1,0.125176023982931
SDN00010_L00010_R00001.txt,0.1,1,0,1,0.0771339400089346
SDN00010_L00010_R00001.txt,0.2,0.938095238095238,0.116591928251121,1,0.121142535994295
SDN00010_L00010_R00001.txt,0.3,1,0,1,0.0763652020250447
SDN00010_L00010_R00001.txt,0.4,1,0,1,0.0782979499781504
SDN00010_L00010_R00001.txt,0.5,0.966666666666667,0.0645161290322581,1,0.127494266023859
SDN00011_L00010_R00003.txt,0,1,0,3,0.0263200709596276
SDN00011_L00010_R00003.txt,0.01,1,0,3,0.076106232998427
SDN00011_L00010_R00003.txt,0.02,1,0,3,0.0729747869772837
SDN00011_L00010_R00003.txt,0.05,1,0,3,0.0776752189849503
SDN00011_L00010_R00003.txt,0.1,1,0,3,0.124032053980045
SDN00011_L00010_R00003.txt,0.2,1,0,3,0.0780934089561924
SDN00011_L00010_R00003.txt,0.3,0.814285714285714,0.313253012048193,3,0.126262585981749
SDN00011_L00010_R00003.txt,0.4,0.942857142857143,0.108108108108108,2,0.0758442729711533
SDN00011_L00010_R00003.txt,0.5,0.90952380952381,0.165938864628821,1,0.126761698047631
SDN00012_L00010_R00000.txt,0,1,0,0,0.0588835219969042
SDN00012_L00010_R00000.txt,0.01,1,0,0,0.0582216879702173
SDN00012_L00010_R00000.txt,0.02,1,0,0,0.100068214989733
SDN00012_L00010_R00000.txt,0.05,1,0,0,0.0617629279731773
SDN00012_L00010_R00000.txt,0.1,1,0,0,0.0652900620480068
SDN00012_L00010_R00000.txt,0.2,1,0,0,0.113198061008006
SDN00012_L00010_R00000.txt,0.3,1,0,0,0.067218843032606
SDN00012_L00010_R00000.txt,0.4,1,0,0,0.0728406260022894
SDN00012_L00010_R00000.txt,0.5,0.923809523809524,0.141592920353982,0,0.117223196022678
SDN00013_L00010_R00003.txt,0,1,0,3,0.028901098005008
SDN00013_L00010_R00003.txt,0.01,1,0,3,0.0759283590014093
SDN00013_L00010_R00003.txt,0.02,1,0,3,0.116841420996934
SDN00013_L00010_R00003.txt,0.05,1,0,3,0.0716208110097796
SDN00013_L00010_R00003.txt,0.1,1,0,3,0.119661762029864
SDN00013_L00010_R00003.txt,0.2,0.966666666666667,0.0645161290322581,2,0.0750141399912536
SDN00013_L00010_R00003.txt,0.3,0.966666666666667,0.0645161290322581,2,0.0781469210051
SDN00013_L00010_R00003.txt,0.4,0.966666666666667,0.0645161290322581,2,0.120506646984722
SDN00013_L00010_R00003.txt,0.5,0.876190476190476,0.220338983050847,1,0.0768267289968208
SDN00014_L00010_R00001.txt,0,1,0,1,0.107894144020975
